REVIEW_ID,review_text,review_date
922448458_6001367,"5 stars Lovely hotel Abigail was amazing, herself and Daniel do activities every day by the pool and make sure to invite you to join them from bracelet making to beach volley ball tequila tasting and more! 
All of the staff onsite were so friendly and accommodating we have lovely every minute of our stay and would recommend! 
Hotel is lovely and clean and plenty to do  around the hotel too!",10/22/23
929222572_84360,Pool and Beach Access Closed They didn’t tell us until 5 days after booking that the pool and beach access was closed due to the hurricanes of 2022.  Our room smelled like a dirty dog. But otherwise the staff was friendly and the breakfast was good.,12/11/23
928741001_87736,"VERY LOUD/ HOT ROOM/ WINDOWS DO NOT OPEN  IMPORTANT DETAIL: Thermostat doesn't seem to adjust down (I was trying to get my room a little cooler - down to 67, but it wouldn't cool off with fan on 24/7 and thermostat set to 65) and WINDOWS DO NOT OPEN AT ALL.  Breakfast was good, Serve Staff at Jaxx was great.  Angelo was Awesome.  
Very disappointed in the lack of addressing the noise complaints for the night of Nov 30 when the RAVENS 'Pre-teen Girls Hockey Team moved in.  Screaming, slamming doors, running up and down the hallways until after 11PM was unacceptable.  I called the front desk and they already knew which group of girls  I was referring to and said they would send someone up...  2 hours past and it never got any quieter.  3 of the 4 nights were pretty good with exception for the temperature",12/7/23
880217434_1382467,"Don’t give them your credit card The accommodation was fine. However, a $50 preauthorisation was taken on Feb 10 and has still not been returned to my bank account by Feb 26. I had a VERY rude reply by the night staff member through my hotels.com message facility and the hotels.com rep who called them also said they were very rude. I wish the manager would make sure payments are returned straight away. There is a definite training need for staff. If the manager sees this please would they leave an email address for me to contact them on? Given the above, I would not recommend this hotel.",2/26/23
900446408_181946,"Atrocious hotel. The water pressure in the shower was down to a trickle, unbelievably annoying. No windows no ventilation. It’s like staying in a cage. The mattress was soft and soggy and caving in the middle. The manager in charge should be ashamed to let the hotel run with such low quality. Shame on you, Hyatt.",7/4/23
868121477_242220,"The pictures don't tell the truth. The walls are bare, the lighting is cheap. We travel through RCI to have the best experience, yet this experience was the worst. The staff here knows nothing about a partnership with RCI, which makes me question RCI's credibility. We expected beautiful accommodations to celebrate our anniversary. We considered checking out and going to another hotel but we made the best of it.",11/12/22
926820522_1699819,"Won't be back  Could not get our EV charged. Extremely loud music until 2am both nights. Very noisy trash collections each morning at 6:30am. Room was extremely small, and did not have any place to sit except on the bed. Beach was noisy with construction. Bartender at Naked Taco was rude. Breakfast was supposed to be included, but they insisted on charging us extra $7 for bacon. No water in room. No available ice.",11/21/23
926111984_8643156,"Great Stay!!! Our experience here was excellent! It started when we walked in the door and weee greeted by Mark..what a welcoming delightful young man. So important for first impression. Room was spacious and clean, quiet and comfortable. Breakfast was great….fresh fruit, hot bacon and eggs, lots if bread choices, cereal, juices, yogurt, etc etc. only 1 drawback of entire stay was water pressure and accessibility…shower took some adjusting and sink taps were very weak but not bade enough to change an overall stellar rating",11/16/23
916774510_99455,BEAUTIFULLY SPECTACULAR My stay at the HYATT Regency by the riverwalk/riverfront was amazing! It was peaceful and relaxing. The accommodations of the room was stellar. I enjoyed the bed and the bath/shower; I appreciated the welcoming.,9/16/23
893942551_96468,"Keep your money!! I was highly disappointed about my stay. The rooms look way more outdated in person than they do in the pictures. We had a king suite and the sheets were too small for the bed. We requested new sheets, but no one ever brought them. All night long, for FOUR nights, I was constantly readjusting my sheet so that I didn’t up sleeping on a bare hotel mattress. A main reason thaf I selected this hotel was for the pool. It was absolutely filthy and deplorable. There were rocks, bird poo, insects, you name it floating around the pool. Even in the indoor pool! I didn’t feel comfortable letting my daughter swim in it at all. She was extremely disappointed to say the least, we stayed on the 4th floor and the hallway had some kind of awful stench. The room also triggered me husband and I’s allergies. I was thoroughly disappointed with my stay considering the fact that it is under the Marriott Bonvoy umbrella. 

The one positive was the kindness of all the employees. I had frozen breastmilk  with me but the rooms didn’t have freezers. They took my bag of milk and put it inside their freezer for my stay. I am very grateful.",6/7/23
880404169_14416950,Great stay The accommodations were above expectationsStaff was friendly the room and the hotel were clean and no foul “hotel “ odors. Breakfast was a full breakfast with plenty of fresh food and coffee This location will be our go to when staying in RI,2/27/23
920947244_10254609,Great Value and Service Traveled with a ball team and the staff was excellent to service our needs. Breakfast was excellent as were the accommodations. I will definitely stay at this location again should I be in the area and need a hotel.,10/12/23
903171563_89626,"Great place for a family vacation Very comfortable accommodations, the associate Mon was particularly committed to customer service. I’m staying with my family for a short trip and we were all very comfortable staying here. I recommend to anyone who needs to stay in the area.",7/15/23
871499727_110795,"Dated and Broken The property is from the 1970s it has one elevator. It was broken the entire stay. We were on the 4th floor. One of us needed a ground floor room for accessibility. Hotel did not offer any thing but ""oh, sorry"".
The rooms are decent sized, the bathroom was clean but small. The water pressure was not existent. 
If you show up with low expectations this may barely meet them.",12/12/22
866553903_817538,Maurice and Alisha Friendly and funny staff and great accommodations! Enjoyed my stay! Would definitely stay here again and recommend staying here. Plenty of places to eat near the area. Maintenance guy Mr. Edgar was a funny man.,10/30/22
885639308_457118,"Convenient accommodations in Berkshires  Great staff, very friendly and helpful. My room was nicely appointed, clean and comfortable. The hotel was near to attractions in Great Barrington (just outside of town), which made it easy to pop into town, or access other area attractions.",4/10/23
881711998_281611,"Best service in town! You can find a few places that charge less, but you won't find a hotel that has better service!  I've stayed here a few times over the past few years and always have been pleased with service and accommodations from check in to departure.  Bonus is the Carousel just a 2 minute walk away, and the BrewHouse next to the Carousel.  Looking forward to my next visit.",3/10/23
880869768_1500362,"Going downhill!! We have stayed at this property many times in the past and thoroughly enjoyed it but stayed in Jan 2023 and March 2023 and it was horrible. We stayed in a King Suite I. The 2nd floor that had been ""renovated"" they said. It was NOT renovated in any way. Filthy..old paint..old bathroom..the head of the bed was 6"" lower than the foot.. very uncomfortable...bathroom tile grouting was awful..filthy entryway I wiped up with a washcloth..disgusting HVAC vents..bathroom ceiling vent (didn't work)  If there was a highlight it would be the breakfast room. New flooring and tables/chairs. Old paint on the walls and old drapes. Great hostess though. We've decided this was our last time. The elevators were scary. We took the steps and all the hallways and stairways were littered  with all sorts of debre. A GOOD cleaning would make a world of difference. Sad to see the decline.",3/3/23
917834423_123556,Vacation We had a very good experience with the staff. The hotel services and accommodations were excellent. We got upgraded to a better room and it had a balcony overlooking the river.  Excellent service. Thank you!,9/22/23
894418617_238137,"June 2023 This hotel is only good for one night before flying out. The mattress was hard and the bed was low. The air conditioner was also very loud. There is no Resturant on site or anything in close proximity. We ordered food on uber eats and it took forever to arrive. Breakfast was ok and basic. They had eggs, toast, oatmeal, sausage and fruits. The Eggs were powered. The oatmeal was good. It’s something to put in your belly before an early flight out. We reserved the shuttle to the airport and as we were boarding, we were stopped and offered a free taxi to the airport. When I asked why, I was told because there was a large party with kids that needed the space although they never reserved a spot. Why is that my problem? But it worked out in our favor to get dropped directly to our terminal with no extra stops as the traffic to the airport was a bit congested. Overall it was a decent one night stay. I Don’t think I would stay here again. Felt more like a motel than a Marriott.",6/11/23
894418617_238137,"June 2023 This hotel is only good for one night before flying out. The mattress was hard and the bed was low. The air conditioner was also very loud. There is no Resturant on site or anything in close proximity. We ordered food on uber eats and it took forever to arrive. Breakfast was ok and basic. They had eggs, toast, oatmeal, sausage and fruits. The Eggs were powered. The oatmeal was good. It’s something to put in your belly before an early flight out. We reserved the shuttle to the airport and as we were boarding, we were stopped and offered a free taxi to the airport. When I asked why, I was told because there was a large party with kids that needed the space although they never reserved a spot. Why is that my problem? But it worked out in our favor to get dropped directly to our terminal with no extra stops as the traffic to the airport was a bit congested. Overall it was a decent one night stay. I Don’t think I would stay here again. Felt more like a motel than a Marriott.",6/11/23
895909404_90383,IMA23 Conference Hyatt was an amazing venue for the IMA23 conference. Staff were friendly and courteous. They were very helpful and greeted me as a friend everyday. The accomodations were top notch and I had no trouble sleeping after a long day  of skybridge walking.,6/19/23
927643753_249903,"Unsafe and no accountability First night at the hotel, on thanksgiving, 8 cars had their windows broken at the hotel parking lot. Only solution they gave “We are sorry”. I was hoping management to contact me as apparently the owners car was also damaged. But nothing was done. Still had to pay for my staying. No reimbursement for damages, not even Hyatt points.",11/27/23
919950509_573347,"Expensive The additional fees for parking, added room charge and activities were ridiculously high. To zipline for a family of four alone was $600.00. The self parking was $18.00/day and the valet parking was $40.00/day.  The signage was bad. I couldn't figure out how to get out of there plus when I did there was a barrier that required a ticket which I had no idea about.",10/5/23
908756339_183176,"Expecting better Breakfast poor ran out of food.  No pastries nor fruit.  A hostess chastized a guest for putting too much food on his plate.
Room door didn’t close on its own
Toilet wasted water by running
Location e
Was excellent",8/8/23
893455222_82324,"Never here again...... We have stayed at Best Western hotels for years.  In general, we have always had pretty good experiences.  Until this hotel.  The outside looks reasonably good.  Inside things need upgrades; carpet, tubs, plumbing, etc.  
The person who checked us in was much more interested in who or what she had going on with her phone.  The office chair in the room was so wobbly, I thought it would dump me in the floor.  The tub/shower was extremely dated.....in need of upgrades.  We will continue to favor BW hotels in the future, but never this one again.",6/4/23
881914665_8494644,"Has potential but needs pest control Beautiful hotel, but… roaches were crawling on the bed, bathroom, fridge, everywhere…cleaning staff just gave us a bottle with pink cleaning liquid after asking them to clean the room and to put something to get rid of the roaches. There is no full breakfast, but a bag with water, a muffin and a yogurt. Property is centrally located and rooms are good and lobby is decent. It’s a shame they don’t attend to these important issues!",3/12/23
928778700_92703,"Arizona Bound We have stayed here before on numerous occasions. This time, the quality seemed to have slipped a bit.  Our room had no LED bulbs in the bedside lamp. Obviously, the previous customer took them, which is a sad testament to human behavior, but I would have thought that the cleaning staff would have identified this to maintenance.  The top of the cabinet was sticky, which seemed to be due to a soda can or similar. Easy to miss, and easy for us to clean, but obviously not checked. The heater fan was very noisy, so we left it off overnight. The room could use some minor repair.  We slept well and the breakfast was very good. We would stay here again.",12/7/23
875470377_183778,"Conference on eliminating ads I went to this conference last year and learned so much from it. I gained knowledge and a better understanding on ads. there were so many activities, and for a great price. I love how Meals and our room was included. I 100% recommend this conference!",1/17/23
914614830_673659,"Very nice experience Company retreat experience was amazing at Melia. I did really enjoyed my staying in there. The staff very nice and friendly, the food was super good, the cocktails delicious, the activities hosted and propose by Melia and our organization were fun and entertaining. Everyone had so much fun. Thank you!",9/3/23
913785448_96262,"Worst experience ever Bad rooms , bad service, back exit door remain unlocked all night, worst Night Shift female manager, rude and unprofessional, not pet friendly at all ,bad room service, same breakfast menu every day , bad wi-fi",8/29/23
867384206_1484861,"Not up to Marriott standards Although this was a good location, within walking distance to everything, we were disappointed in the room.  The comforter had numerous stains (very disgusting).  The couch, carpeting, and lamp shade also had huge stains.  The reading lamp over the bed was missing a bulb and lamp shade. The door had holes in it.  The air conditioning unit sounded like a jet motor. VERY LOUD,!  This is not what we expect when staying at a Marriott property.",11/5/22
867625104_320079,"Great hotel - quiet location, sizable rooms, breakfast and Adam at the front desk. This is a great hotel - good location, spacious rooms and good breakfast. The location is walking distance to the French Quarter, cafes, Bourbon Street, the river walk and right next to the Sazerac building (take the tour). The rooms are charming with open brick walls, comfortable beds, and quiet. The staff is welcoming and friendly. Adam at the front desk greeted us and make us feel welcome. Definitely recommend this hotel and will stay at it again. Adam, you are great!",11/7/22
862585171_14103163,"Check-In was Painfully Slow We were a tour group travelling Canada from the UK. We had travelled for hours in a coach from Montreal and we arrived and stood in reception for approximately 40 minutes while the staff on the desk laboriously input all our details to enable us to have our room keys. Very poor management of staff as while the junior staff (thought to be new) on reception input the details while what were thought to be supervisors watched and did nothing to help or support them. As guests we were shocked to have to endure all this - WHY WERE THE BOOKINGS NOT COMPLETED IN ADVANCE OF OUR ARRIVAL LIKE THE PREVIOUS HOTELS? Not a good start to our stay and thoroughly annoyed all the guests from the group waiting. Stars marked down due to this.

Our room was fabulous - spacious and in immaculate decorative order and condition. Large bathroom complete with bath, iron and ironing board also provided. The room was wonderful and we enjoyed our stay everything was great - shame about the very poor administration on reception.",9/30/22
892658247_10000104,"False advertising, misleading descriptions The BW website advertises a 2 room family suite with 1 king and a pull-out sofa, 1 king suite. The pictures for the listing show a king bed in the main room with the pull-out sofa. In reality, there is only a single king bed in the suite and no bed in the main room. This foiled our plan to put our toddler in the suite and shut the door while mom and dad slept in the main room with the newborn who wakes up every 2 hours to nurse. Instead, we shut ourselves in the suite so we could have a bed while our toddler slept in the main room blocking us from the bathroom, room exit, and sitting area once he was down for the night. Wish my wife could have used the sitting area to nurse.. We drove out of our way to stay here based on the advertised room availability. We definitely would not stay here again as there are nicer hotels in better parts of town at the same rate.",5/30/23
879578421_254836,"wonderful  stay friendly employees, Very good food, good flavor, close to alot  of activities for family, pool is very nice, it is inside/outdoor pool,  really enjoyed the afternoon snacks, thought it  would  be just chips//pretzels, but it was mashed potatoes, meat and veggie.  very good food",2/21/23
883828606_294839,Pick a different property until upgrades are completed! The deposit is unbelievable! To require $100 deposit for a hotel in this condition is unthinkable. I was initially assigned dirty room. There were crumbs on the table and nightstand as well as napkins on the floor. The desk agent assigned another room. This one had a broken dresser handle and no toilet tissue. The mattress reminded me of the ones in horror movies. There was no syrup for the waffles. The only good thing about this property is the desk staff.,3/27/23
923816527_12301470,"Let’s go Moxy Steve at the Front desk is super awesome. Friendly, accommodating, the best agent I ever checked in with . 😊 love the pumpkins . Everything is perfect. Awesome hotel . Room is simple but it serves its purpose",10/31/23
895426805_182098,"Beautiful property and outstanding customer service received! I was warmly greeted by the front desk. Agent advised of everything on the property, and was so pleasantly surprised at the beautiful room that I received. Thank you so much, Jean Best Western Plus, Kelowna for making my medical stay so comfortable and friendly.   Rhonda",6/16/23
930289814_15111425,"This ROSE is Wonderful! Friends and I chose the Rose Hotel Chicago O'Hare to host our visit to the Chicago Sports Spectacular at the Stephens Convention Center.  We made an outstanding choice!  This hotel is wonderful.  The hotel is modern, and guestrooms were well appointed and comfortable.  I must compliment the engineers who designed this hotel as the rooms are SO QUIET!  And oh my, the beds are truly ""dreamy""!  The dining area was perfect for breakfast and our menu selections were perfectly prepared, and service was top level.  As with most hotels, it is the Guest Service Team who create the experiences for guests.  I would like to recognize Tracie, Angie, & Alejandro for their courteous and attentive service.  We had so many questions and they had all the right answers!  Great accommodations and a Great Guest Service Team!  Well done!  Don't miss this ROSE of a hotel!",12/19/23
929732798_7248265,"Weird Dorm with pest infestation The room layout was extremely awkward, they've got large furniture which is nice but also making it difficult yo move around. We shockingly found mouse/rat droppings in the room (under lamp and behind the sofa) and contacted front desk. Maintenance staff came and checked it out and confirmed it must have come from vents as they have repeating sightings in the east wing throughout different floors. We didn't feel comfortable and moved to Aloft.",12/16/23
905965742_240198,"Unclean/Unsafe The fact that housekeeping does not take trash away from rooms has generated an unclean/unsafe environment.  Many guests were leaving trash in the hallway but it stayed there for 24-48 hours which begs the question whether or not anyone from the hotel was walking the floors periodically from a security/safety perspective.

I also noted that fire doors were propped open with a door wedge meaning if a fire occurred the fire doors would not have been able to delay the spread of the fire before it got to the rooms.  

Shared both with the front desk but there was little concern shown about either topic",7/27/23
905965742_240198,"Unclean/Unsafe The fact that housekeeping does not take trash away from rooms has generated an unclean/unsafe environment.  Many guests were leaving trash in the hallway but it stayed there for 24-48 hours which begs the question whether or not anyone from the hotel was walking the floors periodically from a security/safety perspective.

I also noted that fire doors were propped open with a door wedge meaning if a fire occurred the fire doors would not have been able to delay the spread of the fire before it got to the rooms.  

Shared both with the front desk but there was little concern shown about either topic",7/27/23
903317563_6719423,"1ST time guest Alice was very personable day and night when she worked. Elena at the front desk was great with info on property and always greeted me when I returned. I didn't get the others names, but they were always friendly as well. The manager was helpful and she was always cleaning or helping her staff. (Edy?) 1st time staying here and if I travel I'll look for a Drury hotel to stay again. Thank you all!",7/15/23
861463996_15332669,"Room not ready, given the wrong room than I reserved, disoriented front desk & cleaning staff, poor customer service at this loc We made our reservation a year in advance with a family wedding block.    Reserved a Double Queen Suite  for my Husband and I and my Mother.  I called early Sat 9/17/22 @ 9am to ensure we could check in by 3pm to catch the 3:15pm shuttle bus to wedding venue.  I was told that would be fine.  We had to get dressed on lobby & public restroom because our room was not ready!   Then was told I needed to run a
Different card,  We finally got into a room with a Wet Slippery floor at 3:20pm, but it was Not the queen suite I reserved!  Front desk was of no help,  as she said it was 1st come 1st serve?  I booked my room online 1yr in advance!  This is not typical Holiday Inn Customer  Experience!",9/23/22
906280055_21309743,"Not a bad hotel. Just not a good stay. Comfortable bed, quiet ,but floors were dirty along the walls. Low water pressure. Had the do not disturb sign on the door when we left for the day. On our arrival do not disturb sign was ignored. The room is straightened up. The bed was made towels were exchanged. However. The TV remote was gone. It was a handicap room. I was offered another room, however it was not for anyone with handicap. We asked for a new remote and we would try and YouTube how to set it up however for our LG TV we got a Samsung remote. It was a nice location parking was across the street and over one block. If you do go there to Savannah, remember the time of the year, if it’s during the summer months, it’s going to be very hot, and have no breeze. It’s a real shame about the remote, and leaving our room as it was. It was a nice hotel and it’s in a nice spot. I don’t think we’ll stay at that particular hotel again probably the one across the street.",7/28/23
864540711_100056,"Great Food at The Junction, Lovely staff!  Let me start with the positives. The Junction is phenomenal! The grounds were beautiful but not as large as we expected. The staff was friendly and knowledgeable. 
Now for a few things we were not as happy with during our stay. We drove almost 1600 miles to this destination (my first time to Vermont) for our fall road trip to find no robes, and a room that needed some updates (especially for the price). We ate at The Tavern the first night, it was not good and it was almost $100 for pub food. We couldn’t get reservations for the cooking class, over 3 weeks out, but we decided to come anyway. We wanted a little more interactivity at The Junction (as advertised), but again the food, service,  and ambience were incredible. If it weren’t for The Junction, this review would have been a 2.5. 
We will return to Vermont, not sure we will stay at Essex, but will revisit The Junction and hopefully a cooking class.",10/14/22
869876085_1718963,Good hotel.  Needs more cleaning staff. Good hotel with average breakfast.  You have to request to have your room cleaned.  I wish the hotels would add more cleaning staff.  We really value having the service of room cleaning every day and this hotel didn’t do that unless you requested each morning and sometimes they forget.  The beds were comfy and the breakfast was fine.,11/27/22
884324317_105670,"The property is tired The pool heater is broken which made for sad kids. The bed and bath linens are paper thin. Seemed as though staffing was light as there was a housekeeper and her boyfriend flipping rooms still at 7:25PM on a Friday night. The only obvious update recently is the lobby. Beyond that it could use some work. I would suggest furniture in the rooms, linens, lighting and more plugs and outlets for today’s modern family.",3/31/23
883788815_23355657,"SpringBreak FtLauderdale The service standards were exceptional. From the moment you arrive in valet, to the front office--everyone was warm and welcoming. We especially appreciated Alyssa and Daniil in the Front Office who always greeted us with a smile and a much needed bottle of water. Alyssa was so helpful and stored my bags, suggested some activities for my flight. Highly recommended!",3/27/23
878459398_2087377,"Great value for money First time in a RIU Hotel and exceeded expectations. Bed is comfortable, bedroom is soundproof, great views of the city and a varied breakfast buffet. 

Only downside is water pressure in the shower: we stayed on the 10th floor and it was very weak.",2/12/23
876742278_247391,"Avoid this establishment Hotel under renovation, and existing rooms in disrepair and cleanliness was not there.  I think cleaning staff gave up!
Room looked like a crime scene bathroom was disgusting and hotel was in a state of disrepair.",1/29/23
927202528_675616,Afternoon Tea Met & Exceeded All Expectations My family and I enjoyed afternoon tea at the Palm Court and it was amazing! My daughters (8y & 11y) enjoyed the Eloise tea option and my husband and I enjoyed the holiday offerings - everything was delicious and the ambiance was beautiful. Fariz took excellent care of us and really made sure we had the best experience possible. We will definitely come back to enjoy this again.,11/24/23
881501472_74663,"Amazing ambiance and hotel We stopped on our way to CA and we are so glad that we did. The hotel is tucked away in a quiet area surrounded by pine trees m, aspen trees and overlooking mountains. The lounge has a wonderful collection of Kachinas on display and Rachel was a very attentive server. We ate dinner in the steakhouse and Alfredo was an excellent server. He constantly check to see if we needed anything and let us know that our order was coming out shortly. They separated our dinner onto two plates, which was very nice. The shrimp cocktail was so fresh and enjoyable and so was the French onion soup. We shared a 14 oz ribeye, which was nicely seasoned and cooked perfectly. We had a very comfortable king handicapped room with a roll in shower. There was a computer desk as well as a cabinet for the refrigerator, coffee maker and glasses. All in all, this was a superior hotel and we will return whenever we are in the area.",3/8/23
882556750_111501,"Run down. Run down. Full of business travelers. The first floor is beautiful, it would be an ok place to get drinks.  We staid 2 nights for a girls trip and we're very disappointed.  
The room had water stains on the art and ceiling. There was no ports to plug in your phone. We had to go to Target to buy bricks. No recycling on site,  we had to bring it home.  The valet was very expensive and I had to  walk to the back of the hotel to find it.   There were no hooks in the bathroom for towels, or makeup bags. Finally there was no security on the elevators. Anyone cold to the floors, I did not feel safe. I prefer hotels that require a room key to access floors.",3/17/23
874018695_18717675,"A great experience but. . . My family and I only spent one night at this airport hotel,We really enjoyed our brief stay. The beds were comfortable, the staff friendly and helpful, and the overall ambience of the hotel was refreshingly original : the luggage shelves behind the front desk, the license- plate aphorisms, the funky bison in the lobby. I particularly like the big windows. I left something in the room, and only discovered it on my return. I tried to contact the hotel by email and then by phone, only to get a loop of choices that went nowhere. I called many times, and got no answer. I was just trying to reach the front desk, but finally gave up.It should not be so hard to talk to a real person.",1/5/23
887843152_7949326,"Dirty; needs adequate housekeeping Complete lack of security. One can take outside elevator in parking area directly to any floor in hotel without passing the front desk. 
Our room was dirty; baseboards were black; bathroom shower area was rusty and dirty. We actually went out and bought Lysol spray cleaner and cleaned the baseboards and bathroom ourselves.  Hotel is still operating under Covid restrictions with no room housekeeping.  We were told to put our used towels in the hall laundry chute and our garbage outside our door. We then had to get our fresh towels, etc at front desk. This is basically a serve yourself hotel.  Be aware, there is fairly noisy construction going on outside the hotel all day long, which is not mentioned on their website or when calling for a reservation. 
We had a 1 BR suite with a kitchenette.  There were a few dishes and pans, but no cooking utensils. 
The plus is coffee & tea in the lobby along with cookies. 
There seems to be a lack of sufficient help at this hotel. We have stayed here before and it seems the only of the owners is cost cutting and not improving the customer experience.",4/26/23
869932041_94751,"Outdated Rooms, Bugs on the ceiling  My family and I recently stayed at this location overnight. The front desk staff seemed friendly. When I first entered the room, it looked outdated. My biggest issue was the 6 or 7  ladybugs crawling on the ceiling and another big bug that I did not recognize. I contacted the front desk, told them about the bugs, and asked for another room. Later, I was told that they were looking for another room, but all the rooms were booked; and they were looking to see if there were any cancellations. I ended up staying in the room with a family member.  

The next morning, my family and I told the housekeeper about the bugs in the room. She told us that  it happens all the time. That's still no excuse.  At check out, I explained the situation again and asked for my money back. Needless to say, I received a reimbursement. I would not recommend staying at this location, unless you inspect the rooms carefully.  This location needs to permenently resolve the bug issues and other complaints about the rooms.",11/27/22
918156857_96899,"Dirty and disappointing Rooms are not those pictured on website. Nothing is as pictured. Rooms are dirty and gross. Mold in the shower. AC barely works in room. Staff is weird. Do not stay here!!! False advertising! Food at restaurants bar is terrible. I do not know how this hotel is still open. 

The shower is so small; anyone that is not skinny is not showering in there. I am thin and could barely turn around. Water pressure is good and hot but shower its self is small, moldy and gross. 

The room is not much better. Dirty. Kept my flip flops on.",9/24/23
907893847_645378,"Americas Diner stinks I haven't eaten at Denny's in years.  Now I remember why.  they had only one person as hostess, server, cashier.  I was there for dinner but nothing on the menu appealed to me.  So I ordered mile high western omelet which was a greasy mess and flat as a pancake.  The beacon was wimpy small pieces.  It will be another decade before i eat there again.",8/4/23
914878844_265581,Excellent West Indian Buffet We very much enjoyed the ambience and delicious food at the Marriot’s Caribbean Cafe.  They have a special West Indian Buffet on Thursday through Sundays nights.  Great value too.  After dinner we strolled down to the Atlantic Beach to digest our excellent meal,9/4/23
922643174_95133,"Excellent! Excellent service, gorgeous room and river view (King 18th floor), clean, comfy pillows, beautiful ambience, nice selection in coffee shop, delicious buffet breakfast, easy valet.  We look forward to our next stay!",10/23/23
904849380_114604,"Nasty Way overpriced! No hot tub, no breakfast, little baby sized pillows, very long check in wait time, $50 a day parking, old musty smell, and rats are running in the covered part of the parking lot. If they’d empty the kitchen dumpster so the lid would close it may help. We will never stay again.",7/22/23
868841076_209384,"Key West Good hospitality and beautiful resort with good ambience. Maintaining neat and clean environment and room as well. 
A special thanks to Umberto. He was extraordinary.
He helped us to find the rooms and he was very kind to us all the time.",11/17/22
